step,loss,grad_norm,lr,reward,reward_std,kl,mean_len,clipped
1,0.0,0.13778209686279297,0.0,0.7208856344223022,0.11490997672080994,0.0,390.5625,0.0
2,-0.0,0.13864445686340332,3.125e-07,0.661021888256073,0.06422046571969986,0.0,404.6875,0.0
3,0.0,0.13497895002365112,6.25e-07,0.6331760287284851,0.04202346131205559,0.0004724058962892741,400.9375,0.0
4,0.0,0.13788844645023346,9.375000000000001e-07,0.6491339206695557,0.11198937147855759,0.0005362008814699948,397.3125,0.0
5,0.0,0.13046465814113617,1.25e-06,0.47063690423965454,0.13925087451934814,0.0006196949689183384,420.1875,0.0
6,0.0,0.14592278003692627,1.5625e-06,0.7292752265930176,0.06698582321405411,0.0007940953655634075,390.75,0.0
7,0.0,0.13003699481487274,1.8750000000000003e-06,0.6550202369689941,0.1119581013917923,0.0005191243399167433,399.0,0.0
8,0.0,0.14920537173748016,2.1875000000000002e-06,0.8122667074203491,0.05234021693468094,0.0004645721346605569,411.875,0.0
9,0.0,0.12780959904193878,2.5e-06,0.7403272986412048,0.06263326108455658,0.0005085207085357979,395.8125,0.0
10,0.0,0.13497187197208405,2.8125e-06,0.6993370652198792,0.08896640688180923,0.0005803218518849462,414.0625,0.0
11,0.0,0.10774397104978561,3.125e-06,0.4424270987510681,0.07318629324436188,0.0005348245322238654,392.375,0.0
12,0.0,0.1370052993297577,3.4375e-06,0.6514525413513184,0.12592463195323944,0.0004720948199974373,403.6875,0.0
13,0.0,0.17310459911823273,3.7500000000000005e-06,0.7194714546203613,0.1071067824959755,0.0005617238057311624,399.5,0.0
14,0.0,0.14638105034828186,4.0625000000000005e-06,0.6753162145614624,0.07112763822078705,0.0005337100883480161,414.0625,0.0
15,0.0,0.12700249254703522,4.3750000000000005e-06,0.7570523023605347,0.049584683030843735,0.0005680663452949375,401.1875,0.0
16,0.0,0.13391327857971191,4.6875000000000004e-06,0.7783601880073547,0.08932533860206604,0.0005327676481101662,394.875,0.0
17,0.0,0.12951825559139252,5e-06,0.7369418740272522,0.05729927122592926,0.0005208108632359654,394.125,0.0
18,0.0,0.12470634281635284,5.3125e-06,0.7681769132614136,0.07586495578289032,0.0007389544043689966,402.1875,0.0
19,0.0,0.12744086980819702,5.625e-06,0.653036892414093,0.08400095999240875,0.0004905293608317152,416.4375,0.0
20,0.0,0.1327923983335495,5.9375e-06,0.7371033430099487,0.08623961359262466,0.0005629589140880853,415.0,0.0
21,0.0,0.1340271383523941,6.25e-06,0.6513229012489319,0.08174487948417664,0.0005125916504766792,402.9375,0.0
22,0.0,0.12979935109615326,6.5625e-06,0.6689895391464233,0.08302527666091919,0.0005323458171915263,403.0625,0.0
23,0.0,0.23359288275241852,6.875e-06,0.6909798383712769,0.07404498755931854,0.00048084826266858727,393.125,0.0
24,0.0,0.13568462431430817,7.1875e-06,0.6615395545959473,0.07341213524341583,0.0005900656979065388,401.125,0.0
25,0.0,0.13368797302246094,7.500000000000001e-06,0.6797153949737549,0.09473824501037598,0.0005011603207094595,394.1875,0.0
26,0.0,0.13924333453178406,7.8125e-06,0.7517825365066528,0.05981730297207832,0.0005519147380255163,397.0625,0.0
27,0.0,0.15041382610797882,8.125000000000001e-06,0.7961881160736084,0.051721781492233276,0.0005711454432457685,400.125,0.0
28,0.0,0.15133468806743622,8.4375e-06,0.6450212001800537,0.061357006430625916,0.0005031379841966555,407.875,0.0
29,0.0,0.14049957692623138,8.750000000000001e-06,0.6753298044204712,0.09598149359226227,0.0005860070523340255,398.5,0.0
30,0.0,0.1321054846048355,9.0625e-06,0.7227506637573242,0.08195145428180695,0.0005299646727507934,392.0,0.0
31,0.0,0.1326783001422882,9.375000000000001e-06,0.6913062334060669,0.11771909892559052,0.000529944954905659,380.3125,0.0
32,0.0,0.13152152299880981,9.6875e-06,0.6962648034095764,0.07646383345127106,0.0005574957467615604,402.1875,0.0
33,0.0,0.13742946088314056,1e-05,0.7226583361625671,0.13460928201675415,0.0005546111206058413,403.625,0.0
34,0.0,0.13724678754806519,9.999930304487874e-06,0.6204545497894287,0.12095947563648224,0.0005856022180523723,400.125,0.0
35,0.0,0.1312178075313568,9.999721219894482e-06,0.7392677068710327,0.09176434576511383,0.00048287321988027543,404.25,0.0
36,0.0,0.14963087439537048,9.999372752048729e-06,0.619096040725708,0.09628233313560486,0.0006429780623875558,409.75,0.0
37,0.0,0.15104557573795319,9.998884910665267e-06,0.7747012972831726,0.04569512978196144,0.0005589088541455567,399.0625,0.0
38,0.0,0.15357452630996704,9.998257709344246e-06,0.6368720531463623,0.10836680978536606,0.0005765438545495272,403.625,0.0
39,0.0,0.13681915402412415,9.997491165570907e-06,0.6447081565856934,0.07724474370479584,0.0005938464892096817,396.6875,0.0
40,0.0,0.1630246788263321,9.996585300715117e-06,0.5232868790626526,0.10330484807491302,0.0007410270918626338,402.3125,0.0
41,0.0,0.13536474108695984,9.995540140030759e-06,0.6825733184814453,0.09388292580842972,0.0005295144219417125,417.1875,0.0
42,0.0,0.12611480057239532,9.99435571265504e-06,0.7473059892654419,0.08084611594676971,0.0006586835661437362,395.375,0.0
43,0.0,0.14569967985153198,9.99303205160767e-06,0.8136608600616455,0.08593442291021347,0.0006656262848991901,406.4375,0.0
